ordre_agents,Vp,numberOfTurn,0,1,2,3
"A0,A1,A2,A3",0.16666666666666666,3,True,True,True,True
"A0,A1,A3,A2",0.16666666666666666,3,True,True,True,True
"A0,A2,A1,A3",0.16666666666666666,3,True,True,True,True
"A0,A2,A3,A1",0.16666666666666666,3,True,True,True,True
"A0,A3,A1,A2",0.16666666666666666,3,True,True,True,True
"A0,A3,A2,A1",0.16666666666666666,3,True,True,True,True
"A1,A0,A2,A3",0.16666666666666666,3,True,True,True,True
"A1,A0,A3,A2",0.16666666666666666,3,True,True,True,True
"A1,A2,A0,A3",0.16666666666666666,3,True,True,True,True
"A1,A2,A3,A0",0.16666666666666666,3,True,True,True,True
"A1,A3,A0,A2",0.16666666666666666,3,True,True,True,True
"A1,A3,A2,A0",0.16666666666666666,3,True,True,True,True
"A2,A0,A1,A3",0.16666666666666666,3,True,True,True,True
"A2,A0,A3,A1",0.16666666666666666,3,True,True,True,True
"A2,A1,A0,A3",0.16666666666666666,3,True,True,True,True
"A2,A1,A3,A0",0.16666666666666666,3,True,True,True,True
"A2,A3,A0,A1",0.16666666666666666,3,True,True,True,True
"A2,A3,A1,A0",0.16666666666666666,3,True,True,True,True
"A3,A0,A1,A2",0.16666666666666666,3,True,True,True,True
"A3,A0,A2,A1",0.16666666666666666,3,True,True,True,True
"A3,A1,A0,A2",0.16666666666666666,3,True,True,True,True
"A3,A1,A2,A0",0.16666666666666666,3,True,True,True,True
"A3,A2,A0,A1",0.16666666666666666,3,True,True,True,True
"A3,A2,A1,A0",0.16666666666666666,3,True,True,True,True
